month,year,ljo,chr,ker,kum,mlf,nzd,ptb,sam,spo,date
April,2013,401.245,NA,392.68,399.552,398.27,NA,402.342,394.9466667,391.3733333,1/04/2013
May,2013,401.0633333,NA,NA,401.525,399.82,392.54,403.0325,394.85,392.02,1/05/2013
June,2013,400.37,397.1366667,393.55,400.0125,398.445,392.3333333,400.63,393.9466667,392.48,1/06/2013
July,2013,390.9233333,398.6,NA,395.84,397.232,NA,389.62,394.59,393,1/07/2013
August,2013,388.99,399.9,392.95,393.6625,394.06,NA,387.65,394.968,395.535,1/08/2013
September,2013,391.83,398.26,NA,392.2825,NA,393.66,389.01,394.8275,393.79,1/09/2013
October,2013,395.2233333,396.79,NA,395.168,NA,NA,395.648,394.8325,393.785,1/10/2013
November,2013,404.83,395.49,395.75,396.6775,NA,396.04,399.4425,395.18,396.52,1/11/2013
December,2013,400.165,397.47,395.18,397.836,NA,NA,403.586,395.8025,393.94,1/12/2013
January,2014,401.84,404.58,394.23,401.28,NA,392.75,402.85,396.635,393.935,1/01/2014
February,2014,401.71,NA,NA,400.49,NA,392.84,406.1975,397.135,393.72,1/02/2014
March,2014,403.42,397.55,NA,399.845,NA,393.33,404.582,395.935,393.585,1/03/2014
April,2014,403.82,399.205,NA,401.658,NA,NA,405.58,395.69,393.71,1/04/2014
May,2014,403.215,403.2333333,NA,402.445,NA,NA,405.2175,395.0866667,393.98,1/05/2014
June,2014,400.47,396.98,NA,401.318,NA,NA,402.566,395.535,394.6,1/06/2014
July,2014,395.9766667,403.1833333,NA,396.985,NA,NA,393.0833333,397.205,394.63,1/07/2014
August,2014,392.745,396.6425,394.86,394.7825,NA,393.99,388.6475,395.3125,395.145,1/08/2014
September,2014,393.38,401.0925,NA,395.872,NA,396.92,389.4825,395.96,395.5,1/09/2014
October,2014,397.94,NA,418.67,395.66,NA,NA,394.34,396.1075,395.655,1/10/2014
November,2014,400.5,NA,395.39,401.1175,NA,394.56,402.5425,402.81,395.62,1/11/2014
December,2014,401.92,NA,395.9,399.736,NA,395.19,603.576,395.055,395.675,1/12/2014
January,2015,NA,NA,NA,400.9875,NA,NA,405.32,397.89,395.765,1/01/2015
February,2015,403.825,401.51,NA,402.6675,NA,394.55,407.55,397.96,395.55,1/02/2015
March,2015,401.79,399.49,396.66,406.8075,NA,397.94,406.4833333,398.356,NA,1/03/2015
April,2015,403.88,398.88,NA,403.15,NA,NA,406.9166667,NA,NA,1/04/2015
May,2015,404.8,NA,NA,404.03,NA,NA,406.47,NA,NA,1/05/2015
