"Year","Cancer_code","Cancer_name","Sex_code","Sex_name","SA2_code","SA2_name","p025","p10","p50","p90","p975","Prob"
"2010-2014",39,"Prostate",1,"Males",61083,"West Ulverstone",0.49,0.54,0.66,0.8,0.88,0.995
"2010-2014",39,"Prostate",1,"Males",61084,"Wynyard",0.55,0.61,0.73,0.86,0.95,0.98
"2010-2014",39,"Prostate",1,"Males",61085,"Devonport",0.7,0.78,0.91,1.05,1.13,0.597
"2010-2014",39,"Prostate",1,"Males",61086,"East Devonport",0.6,0.66,0.8,0.95,1.04,0.898
"2010-2014",39,"Prostate",1,"Males",61087,"Latrobe",0.68,0.73,0.84,0.96,1.03,0.898
"2010-2014",39,"Prostate",1,"Males",61088,"Miandetta - Don",0.64,0.7,0.84,1,1.1,0.788
"2010-2014",39,"Prostate",1,"Males",61089,"Port Sorell",0.62,0.67,0.77,0.88,0.94,0.989
"2010-2014",39,"Prostate",1,"Males",61090,"Quoiba - Spreyton",0.63,0.69,0.81,0.96,1.04,0.894
"2010-2014",39,"Prostate",1,"Males",61091,"Sheffield - Railton",0.67,0.71,0.8,0.9,0.96,0.981
"2010-2014",39,"Prostate",1,"Males",61092,"Turners Beach - Forth",0.62,0.68,0.79,0.91,0.98,0.966
"2010-2014",39,"Prostate",1,"Males",61093,"King Island",0.59,0.69,0.91,1.19,1.35,0.346
"2010-2014",39,"Prostate",1,"Males",61094,"North West",0.63,0.7,0.85,1.02,1.12,0.753
"2010-2014",39,"Prostate",1,"Males",61095,"Smithton",0.61,0.69,0.88,1.1,1.24,0.523
"2010-2014",39,"Prostate",1,"Males",61096,"Waratah",0.63,0.68,0.78,0.89,0.97,0.978
"2010-2014",39,"Prostate",1,"Males",61097,"West Coast (Tas.)",0.65,0.7,0.82,0.95,1.02,0.929
"2010-2014",39,"Prostate",1,"Males",71001,"Darwin Airport",0.58,0.63,0.74,0.87,0.94,0.987
"2010-2014",39,"Prostate",1,"Males",71002,"Darwin City",0.51,0.57,0.7,0.85,0.94,0.983
"2010-2014",39,"Prostate",1,"Males",71003,"East Point",0.47,0.54,0.7,0.91,1.03,0.921
"2010-2014",39,"Prostate",1,"Males",71004,"Fannie Bay - The Gardens",0.53,0.58,0.69,0.82,0.9,0.996
"2010-2014",39,"Prostate",1,"Males",71005,"Larrakeyah",0.48,0.55,0.69,0.87,0.97,0.965
"2010-2014",39,"Prostate",1,"Males",71006,"Ludmilla - The Narrows",0.54,0.59,0.7,0.82,0.9,0.995
"2010-2014",39,"Prostate",1,"Males",71007,"Parap",0.52,0.58,0.7,0.84,0.93,0.985
"2010-2014",39,"Prostate",1,"Males",71008,"Stuart Park",0.52,0.57,0.69,0.82,0.9,0.993
"2010-2014",39,"Prostate",1,"Males",71009,"Woolner - Bayview - Winnellie",0.59,0.64,0.75,0.88,0.96,0.979
"2010-2014",39,"Prostate",1,"Males",71010,"Alawa",0.64,0.7,0.83,0.98,1.07,0.841
"2010-2014",39,"Prostate",1,"Males",71011,"Anula",0.61,0.68,0.81,0.97,1.06,0.872
"2010-2014",39,"Prostate",1,"Males",71012,"Berrimah",0.6,0.65,0.75,0.86,0.92,0.993
"2010-2014",39,"Prostate",1,"Males",71013,"Brinkin - Nakara",0.63,0.69,0.82,0.97,1.07,0.865
