Width,Height,Count
1920,1011,31
1536,778,31
578,976,31
1686,995,31
390,657,31
2785,1720,31
1648,818,31
458,886,31
1712,1242,31
1390,760,31
712,358,31
384,796,31
592,755,31
1920,991,31
1920,926,31
802,328,31
1772,1304,31
1272,896,31
1619,970,31
393,750,31
375,783,31
341,606,31
750,1113,31
412,751,31
980,1867,31
1280,501,31
1439,790,31
2195,1221,31
1728,938,31
1454,885,31
1326,594,31
565,1064,31
412,643,31
2014,1201,31
412,796,31
568,228,31
375,666,31
3084,1381,31
1240,868,31
1551,1107,31
2336,1314,31
947,790,31
1536,749,31
1920,1012,31
1512,867,31
1714,1155,31
320,480,31
1748,1363,31
342,595,31
754,309,31
1440,2449,31
1140,369,31
2560,1333,31
486,914,31
1270,816,31
320,452,31
1366,884,31
1303,1027,31
1969,1072,31
2752,966,31
1603,1000,31
1366,663,31
2048,1040,31
1411,699,31
1536,707,31
414,624,31
1430,769,31
1420,750,31
1141,848,31
468,877,31
1370,717,31
786,956,31
1720,1323,31
485,977,31
1534,1035,31
1869,1206,31
1278,1281,31
1488,760,31
408,746,31
1566,925,31
473,900,31
1920,925,31
956,942,31
1188,933,31
547,749,31
342,639,31
2015,1184,31
2486,1328,31
1454,690,31
1418,833,31
2519,1322,31
414,723,31
1183,1336,31
412,846,31
423,752,31
360,472,31
803,332,31
1818,1069,31
981,908,31
677,325,31
750,334,31
414,731,31
2051,1120,31
1720,1361,31
461,893,31
1512,772,31
1852,838,31
1182,795,31
1281,1315,31
378,627,31
375,556,31
768,921,31
2048,1023,31
390,763,31
2129,1265,31
396,736,31
1758,1041,31
1362,718,31
860,741,31
458,783,31
450,375,31
832,345,31
260,478,31
512,959,31
786,300,31
480,756,31
360,785,31
1356,890,31
980,402,31
1914,1210,31
1440,709,31
408,773,31
1512,813,31
678,756,31
1470,816,31
2560,1280,31
378,693,31
2048,1015,31
384,671,31
768,954,31
1130,821,31
408,687,31
393,776,31
414,817,31
1677,979,31
360,464,31
